Guest Name,Episode URL,Expert Profile URL,Guest Website,Guest Email,Outreach Date,Template Used,Follow-up Date,Response,Link Placed,Link URL,Notes
Stephen Seiler,https://www.roadmancycling.com/guests/stephen-seiler,https://www.roadmancycling.com/experts/stephen-seiler,https://www.uia.no/english/about-uia/employees/stephens/,,,,,,,,
Joe Friel,https://www.roadmancycling.com/guests/joe-friel,https://www.roadmancycling.com/experts/joe-friel,https://joefrieltraining.com/,,,,,,,,
Tim Spector,https://www.roadmancycling.com/guests/tim-spector,https://www.roadmancycling.com/experts/tim-spector,https://zoe.com/learn/tim-spector,,,,,,,,
Andy Galpin,https://www.roadmancycling.com/guests/andy-galpin,https://www.roadmancycling.com/experts/andy-galpin,https://www.andygalpin.com/,,,,,,,,
Dan Bigham,https://www.roadmancycling.com/guests/dan-bigham,https://www.roadmancycling.com/experts/dan-bigham,,,,,,,,,
Dan Lorang,https://www.roadmancycling.com/guests/dan-lorang,https://www.roadmancycling.com/experts/dan-lorang,,,,,,,,,
Alan Murchison,https://www.roadmancycling.com/guests/alan-murchison,https://www.roadmancycling.com/experts/alan-murchison,https://performancechef.com/,,,,,,,,
Alex Dowsett,https://www.roadmancycling.com/guests/alex-dowsett,https://www.roadmancycling.com/experts/alex-dowsett,,,,,,,,,
Dr Allen Lim,https://www.roadmancycling.com/guests/dr-allen-lim,https://www.roadmancycling.com/experts/dr-allen-lim,,,,,,,,,Founder of Skratch Labs
Hannah Grant,https://www.roadmancycling.com/guests/hannah-grant,https://www.roadmancycling.com/experts/hannah-grant,https://hannahgrant.com/,,,,,,,,
Mark Beaumont,https://www.roadmancycling.com/guests/mark-beaumont,https://www.roadmancycling.com/experts/mark-beaumont,https://markbeaumontonline.com/,,,,,,,,
Derek Teel,https://www.roadmancycling.com/guests/derek-teel,https://www.roadmancycling.com/experts/derek-teel,,,,,,,,,Founder of Dialed Health
Matt Bottrill,https://www.roadmancycling.com/guests/matt-bottrill,https://www.roadmancycling.com/experts/matt-bottrill,,,,,,,,,Matt Bottrill Performance Coaching
Yanto Barker,https://www.roadmancycling.com/guests/yanto-barker,https://www.roadmancycling.com/experts/yanto-barker,https://www.lecol.cc,,,,,,,,Founder and CEO of Le Col
Chris Kresser,https://www.roadmancycling.com/guests/chris-kresser,https://www.roadmancycling.com/experts/chris-kresser,https://chriskresser.com/,,,,,,,,
Dr Andy Pruitt,https://www.roadmancycling.com/guests/dr-andy-pruitt,https://www.roadmancycling.com/experts/dr-andy-pruitt,,,,,,,,,Founder of Boulder Center for Sports Medicine
Mark Sisson,https://www.roadmancycling.com/guests/mark-sisson,https://www.roadmancycling.com/experts/mark-sisson,,,,,,,,,Primal Blueprint / Primal Kitchen founder
Alex Larson,https://www.roadmancycling.com/guests/alex-larson,https://www.roadmancycling.com/experts/alex-larson,,,,,,,,,Alex Larson Nutrition - RD for endurance athletes
Cynthia Thurlow,https://www.roadmancycling.com/guests/cynthia-thurlow,https://www.roadmancycling.com/experts/cynthia-thurlow,https://cynthiathurlow.com/,,,,,,,,
Sarah Berry,https://www.roadmancycling.com/guests/sarah-berry,https://www.roadmancycling.com/experts/sarah-berry,https://www.kcl.ac.uk/people/sarah-berry,,,,,,,,Prof at King's College London / Chief Scientist at ZOE
