pubDate,duration,title,guid
2026-06-09,00:10:35,"Pogacar & Vingegaard's Form, Fitness, Fatigue - How You Can Do The Perfect Taper Like World Tour Riders",afbbfcfe-5293-47c6-bda1-d9344b764f0e
2026-06-03,01:38:22,"Inside Cycling Ireland: Crisis, Reform and the Road Ahead With CEO James Quilligan",a10b3aa1-4f88-46b6-a51a-f5548815d74e
2026-06-02,01:07:05,"What It Takes To Win Ireland’s Hardest Bike Race",e0af0661-d867-4939-84d0-3167693cb7d0
2026-05-29,01:21:17,"Gravel, Grit and the Economics of Modern Cycling With Joe Laverick",43470f10-a84e-4580-aee8-08716ceb9e01
2026-05-25,00:19:29,"The Festina Affair: The Doping Scandal That Changed Sport Forever",e23c6031-b26f-4bd4-b591-b53d7e6dabb2
2026-05-19,00:38:16,"Giro d'Italia Rest Day Confessions with Team Pinarello–Q36.5 Rider - Chris Harper",fb48a01d-72ed-4c80-8043-0ace470a46f2
2026-05-18,00:43:50,"Ben Wiggins Isn’t Trying to Be Bradley Wiggins — Here’s Why",b27b3b40-6ab3-444e-b66b-de9c61b23f94
2026-05-04,00:53:02,"The Science Of Getting Faster After 40 With Dr. Andy Galpin",8fa14b38-b02a-4cdd-8be0-75ad71e65fe3
2026-04-27,01:20:43,"Behind the Scenes of Women’s Cycling: Power, Pressure & Silence With Maggie Coles-Lyster",db900a92-e0ca-43fa-8793-e6eb97b10d3c
2026-04-23,01:22:52,"When Bike Racing Turned Violent: Ireland’s Hidden Cycling War With Mick Cussack",a5757bee-1a82-4e1a-b451-3cb0bb2c842d
2026-04-15,00:52:31,"The 5 Recipes Every Cyclist Needs to Know With Alan Murchison",11119a12-3add-48e3-b256-ce68274662ad
2026-04-13,00:16:00,"This New Study Blew My Mind - Strength Training For Cyclists",f3439195-f638-4ce4-a88d-024fda777d03
2026-04-07,00:23:05,"Saddle Pain Isn’t Normal: What Every Cyclist Needs to Know",eea8cfa6-3282-4ae6-8189-e7c7117aec47
2026-03-24,00:18:23,"The 1% Lie? Inside Team Sky’s Rise",b109ae00-22a2-4b9a-8e90-c0f97c09dc5c
2026-03-16,00:14:26,"Fake Bikes, Dirty Supplements, and the $1.4B Bike Theft Industry",32f956c9-85f7-44bd-974c-ae831275cff4
2026-03-12,01:01:13,"Inside Modern Adventure: Alex Howes on Building America’s New Pro Team",de38dbee-7d4f-45ef-ad98-8857fdbca13a
2026-03-09,00:38:54,"The Athlete’s Guide to Better Sleep & Faster Recovery With Harry Gestetner",a9ea30ca-78d0-4820-99b1-3736730d5986
2026-03-02,00:18:10,"Heat Training Made Simple: VO₂ Max, Cooling & Performance",5d48aef8-f42a-4ad9-bff3-f0bc6da08b40
2026-02-18,00:19:36,"I Lost 7kg Eating More (And Got Faster on the Bike)",5bb0eea2-92f8-4073-ba43-131554c5ca4b
2026-02-16,00:14:40,"Beyond Watts and Numbers: The Part of the Ride You’re Missing",49f2f4ef-041c-4579-ad45-c63efbb82e5e
2026-02-10,00:19:04,"The Smart Way to Use Caffeine For Training & Race Day",27bcdb0e-d10e-495b-a3f0-393b5790acf5
2026-01-31,00:20:40,"The Fastest Way to Improve Bike Handling",f57cac1b-92ae-4244-b68e-962a864143eb
2026-01-19,00:17:33,"“Send It” Culture vs Real Control - The Most Dangerous Thing in Cycling",78367adc-2c3f-4c07-96a1-3a7ebf816ea1
2026-01-16,00:33:05,"The Fixable Winter Training Mistake I See Most Riders Make",ce90c01d-b480-4d2c-8cca-a7f53d873cfa
2026-01-11,00:22:06,"3 Fixable Reasons Cyclists Don't Hit Their Goals",f7e88a51-ccdc-4f18-a982-8d8648588de8
2026-01-03,00:29:43,"You CAN Do Hard Things - Striving For Big Goals In 2026",3f453bfb-1df2-4e46-ab83-160e348055b9
2026-01-01,01:09:12,"Gravel Is Going Pro: Mads Würtz Schmidt on the Sport’s New Reality",12c0f480-bf50-4d75-95c5-17d90ebbf954
2025-12-31,00:21:12,"Not Done Yet: A New Year Reset for the Season Ahead",ec789668-920c-47a7-a9d6-205b997aa7c4
2025-12-30,00:42:56,"5 Tips To Speed Up Your Metabolism With Expert Angelo Poli",96015815-28de-42e9-9c15-309ea8988980
2025-12-29,00:56:03,"I Asked A Brain Training Scientist How To Win Races - Here’s What He Said",ccef7840-7a06-49d2-b631-a4e525947e38
2025-12-15,00:16:37,"How Big Goals Build Discipline With Sarah",b5bd0e22-bd07-4e91-9767-ac498def16ee
2025-12-05,00:55:57,"Carbon Done Differently: Parlee’s Tech Deep Dive with Tom Rodi",dcf7632a-a910-4f63-9bbc-6a792e64d549
2025-11-20,01:11:00,"Old Soul, New Tech: Castelli’s Blend of History and Innovation With Steve Smith",76600506-d7ac-468a-931e-1b6d04bbefeb
2025-11-12,00:19:43,"I'm Finally Dialled Back In On My Training - The Why",8ea72a49-582b-4c9d-8cbb-64b424084eda
2025-11-03,01:01:14,"Work, Family, Sport: Dr David Lipman’s Blueprint for Amateur Excellence",4b3c309b-d351-4e2f-a048-e9491261850c
2025-10-29,00:19:43,"What It’s Really Like to Travel Pro Cycling Team Visma Lease A Bike",d034d84b-d67c-45d1-9d62-0d3a01cbb63d
2025-10-24,00:25:24,"Amateur Cyclist Andrew Feather On How He Beat Pogacar!",e076d34f-c0e8-423b-b3a0-826bf79ae7fa
2025-10-22,00:37:01,"The Reality of Raising a Champion With Chris O'Callaghan",aceed0da-4eef-4209-9798-8a2754934bb4
2025-10-15,00:14:34,"The Dark Secret Behind Pain Killer Use In Pro Cycling",66b2ab73-de5c-406c-9bac-ceee4c628909
2025-10-03,00:42:35,"Train Like a Pro This Winter With UNO X Jonas Abrahamsen",86100880-72bf-431d-8042-cc743f96ff55
2025-10-01,00:28:13,"150kms Of King Sean Kelly's Famous Training Roads - Sarah & Anthony Survived!",4d0eb6bd-67a4-4d5f-99cd-12f320419c05
2025-09-21,00:43:14,"How To Grow As An Athlete & A Person With Ultraman World Champ Iñaki de la Parra",64981e43-132b-40bb-b914-554e42086913
2025-09-17,00:13:34,"The 3 Things Pogacar ALWAYS Does After He Races",d6980459-bb83-470b-81a4-8dc37fb7bfa5
2025-09-15,00:39:00,"WorldTour Riders Are Drinking This Before Races — Does It Work?",0a4395ba-8aad-4c27-937d-9c8a6632b6c9
2025-09-10,00:26:17,"I Was Close To Quitting - Badlands Recap",cb4fc51d-aa31-43f9-956e-119e9fada550
2025-09-04,00:40:39,"Training, Kit & Insights From Unbound Winner Cameron Jones",e0118206-16d3-49bf-990b-e68058759f96
