Position;Domain;Url
1;fredwhittonchallenge.co.uk;https://fredwhittonchallenge.co.uk/
2;en.wikipedia.org;https://en.wikipedia.org/wiki/Fred_Whitton_Challenge
3;www.visiteden.co.uk;https://www.visiteden.co.uk/whats-on/may-2026/fred-whitton-challenge-2026/
4;www.cyclinguk.org;https://www.cyclinguk.org/routes/weekender-diy-fred-whitton-challenge
5;www.facebook.com;https://www.facebook.com/fredwhittonchallenge/?locale=en_GB
6;www.komoot.com;https://www.komoot.com/tour/223994449
7;www.youtube.com;https://www.youtube.com/watch?v=98Q6IfFzI5o&vl=en-GB
8;thefredshop.co.uk;https://thefredshop.co.uk/
9;sportive.com;https://sportive.com/event/fred-whitton-challenge-2027/
10;www.instagram.com;https://www.instagram.com/fredwhittonchallenge/?hl=en
11;www.cyclist.co.uk;https://www.cyclist.co.uk/in-depth/fred-whitton-challenge
12;alastairhumphreys.com;https://alastairhumphreys.com/blog/fred-whitton-challenge/
