year,episodes,community,coaching,nutrition,recovery,strength,interview,solo,panel,sarah_anthony,vlog,inline_transcript,dedicated_transcript,youtube,audio
2016,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
2017,2,2,0,0,0,0,0,2,0,0,0,1,0,2,0
2019,40,12,24,0,4,0,1,39,0,0,0,40,40,0,36
2020,174,98,44,12,16,4,21,147,0,0,6,174,153,24,133
2021,157,121,21,4,8,3,8,149,0,0,0,157,154,3,130
2022,35,8,23,0,4,0,11,24,0,0,0,35,25,10,23
2023,69,28,34,4,3,0,68,1,0,0,0,68,1,69,0
2024,137,40,71,17,5,4,67,36,1,33,0,100,0,100,0
2025,161,61,52,24,12,12,67,83,2,9,0,98,0,98,0
2026,42,14,16,5,1,6,19,19,0,4,0,33,7,42,0
