name,pcs_id,team,class,price,country
Tadej Pogačar,pogacar-tadej,UAE Team Emirates XRG,gc,24,SI
Jonas Vingegaard,vingegaard-jonas,Visma–Lease a Bike,gc,24,DK
Remco Evenepoel,evenepoel-remco,Red Bull–Bora–Hansgrohe,gc,24,BE
Richard Carapaz,carapaz-richard,EF Education–EasyPost,gc,18,EC
Ben O'Connor,o-connor-ben,Team Jayco–AlUla,gc,18,AU
Antonio Tiberi,tiberi-antonio,Team Bahrain Victorious,gc,19,IT
Carlos Rodríguez,rodriguez-carlos,Netcompany INEOS,gc,19,ES
Juan Ayuso,ayuso-juan,Lidl–Trek,gc,20,ES
Jai Hindley,hindley-jai,Red Bull–Bora–Hansgrohe,gc,18,AU
Mikel Landa,landa-mikel,Soudal–Quick-Step,gc,18,ES
Cian Uijtdebroeks,uijtdebroeks-cian,Movistar Team,gc,17,BE
Jasper Philipsen,philipsen-jasper,Alpecin–Premier Tech,sprint,20,BE
Biniam Girmay,girmay-biniam,NSN Cycling Team,sprint,19,ER
Olav Kooij,kooij-olav,Team Picnic–PostNL,sprint,17,NL
Tim Merlier,merlier-tim,Soudal–Quick-Step,sprint,18,BE
Arnaud De Lie,de-lie-arnaud,Lotto–Intermarché,sprint,16,BE
Mathieu van der Poel,van-der-poel-mathieu,Alpecin–Premier Tech,break,18,NL
Tom Pidcock,pidcock-tom,Pinarello–Q36.5 Pro Cycling Team,break,15,GB
Julian Alaphilippe,alaphilippe-julian,Tudor Pro Cycling Team,break,14,FR
Mads Pedersen,pedersen-mads,Lidl–Trek,break,16,DK
Michael Matthews,matthews-michael,Team Jayco–AlUla,break,14,AU
Ben Healy,healy-ben,EF Education–EasyPost,climb,13,IE
Giulio Ciccone,ciccone-giulio,Lidl–Trek,climb,11,IT
Magnus Cort,cort-magnus,Uno-X Mobility,climb,12,DK
Lenny Martinez,martinez-lenny,Team Bahrain Victorious,climb,13,FR
Tobias Halland Johannessen,johannessen-tobias,Uno-X Mobility,climb,12,NO
